food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Meal,Ravenna PopUp Kitchen,Ravenna PopUp Kitchen,Open,General Public,"65th and 8th Ave NE, Seattle, WA 98115",47.675803,-122.320245,,https://www.facebook.com/pages/category/Community/Ravenna-PopUp-Kitchen,Sunday,8/12/2025,1,False,False,True,False,True,Seattle
Food Bank & Meal,Redmond UMC,Open Kitchen,Open,General Public,"16540 NE 80th St, Redmond, WA 98052",47.675118,-122.120025,(425)-883-7553,https://redmondumc.org/ministries/open-kitchen,Wednesday,8/4/2025,1,False,False,True,False,False,Redmond
Food Bank,Renewal Food Bank,Highland Covenant Church,Open,General Public,"15022 Bel-Red Rd, Bellevue, WA 98007",47.6275862,-122.1394748,(425)-736-8132,https://renewalfoodbank.org/,"Monday, Tuesday, Wednesday",8/7/2025,3,False,False,True,False,False,Bellevue
Meal,ROOTS,Friday Feast,Open,General Public,"4130 University Way NE, Seattle, WA 98105",47.6592588,-122.3124319,(206)-632-1635,https://www.rootsinfo.org/,Friday,8/12/2025,1,False,False,True,False,False,Seattle
Food Bank & Meal,Sacred Heart Church/SVDP Society,Queen Anne Food Bank and Meals,Open,General Public,"232 Warren Ave N, Suite B, Seattle, WA 98109",47.6206989,-122.3537259,(206)-216-4102,https://www.sacredheartseattle.org/qafb,"Monday, Tuesday, Wednesday, Thursday, Friday",8/2/2025,5,False,False,True,False,False,Seattle
Food Bank & Meal,Salvation Army,Salvation Army Renton/Rotary Food Bank,Open,General Public,"206 S Tobin St, Renton, WA 98057",47.4842805,-122.2140148,(425)-255-5969,https://webmanager.salvationarmy.org/renton_corps/food-bank,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,5,False,False,True,False,False,Renton
Food Bank & Meal,Salvation Army,Salvation Army White Center,Open,General Public,"9050 16th Ave SW, Seattle, WA 98106",47.5215741,-122.3547065,(206)-767-3150,https://tsawhitecenter.org/SeattleWhiteCenter/help,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,5,False,False,True,False,False,Seattle
Food Bank & Meal,Seattle Indian Center,Emergency Meals and Food Bank,Open,General Public,"624 S Dearborn St, Seattle, WA 98134",47.5959979,-122.3254326,(206)-329-8700,https://www.seattleindian.org/services/food-security-programs/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/5/2025,5,False,False,True,False,False,Seattle
Food Bank,Snoqualmie Valley Food Bank,Snoqualmie Valley Food Bank,Open,General Public,"122 E 3rd St, North Bend, WA 98045",47.4962806,-121.783458,(425)-888-7832,https://www.snoqualmievalleyfoodbank.org/,"Tuesday, Wednesday, Thursday",8/12/2025,3,False,False,True,False,False,North Bend
Meal,Sound Generations,Hunger Intervention Program - Lake City Community Center,Open,Older Adults 60+ and Eligible Participants,"12531 28th Ave NE, Seattle, WA 98125",47.7203524,-122.2981048,(206)-707-1865,https://www.soundgenerations.org/our-programs/food-security/community-dining/,"Monday, Wednesday, Friday",8/5/2025,3,False,True,False,False,False,Seattle
Meal,Sound Generations,Ballard NW Senior Center,Open,Older Adults 60+ and Eligible Participants,"5429 32nd NW, Seattle, WA 98017",47.6684176,-122.3987072,(206)-297-0403,https://www.soundgenerations.org/our-programs/food-security/community-dining/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/5/2025,5,False,True,False,False,False,Seattle
Meal,Sound Generations,Central Area Senior Center,Open,Older Adults 60+ and Eligible Participants,"500 30th Ave S, Seattle, WA 98144",47.597467,-122.2932771,(206)-726-4926,https://www.soundgenerations.org/our-programs/food-security/community-dining/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/12/2025,5,False,True,False,False,False,Seattle
